group,n,base_rate,pred_rate,mean_prob,AUC,TPR,FPR,FNR,Precision,F1,Brier,ME,AIR,fails_80pct,SMD
White | Joint,445939,0.8315,0.9223,0.9007,0.8284,0.9809,0.6329,0.0191,0.8844,0.9301,0.1051,0.0908,1.0,False,-0.0192
Joint | Joint,35139,0.8046,0.919,0.9022,0.8381,0.9842,0.6505,0.0158,0.8617,0.9189,0.1219,0.1144,0.9964,False,-0.0123
Joint | Male,1373,0.8004,0.9126,0.9006,0.8295,0.9882,0.6095,0.0118,0.8667,0.9235,0.118,0.1122,0.9895,False,-0.0197
Asian | Joint,33284,0.8243,0.9109,0.9049,0.8644,0.9891,0.5437,0.0109,0.8951,0.9398,0.0963,0.0866,0.9876,False,0.0
Race Not Available | Joint,52024,0.7818,0.9018,0.8903,0.8452,0.9841,0.6069,0.0159,0.8531,0.914,0.1298,0.12,0.9778,False,-0.0668
Joint | Female,1136,0.7667,0.8917,0.8841,0.8441,0.9839,0.5887,0.0161,0.846,0.9098,0.1344,0.125,0.9668,False,-0.0951
2 or more minority races | Joint,792,0.7083,0.8763,0.8715,0.8435,0.9804,0.6234,0.0196,0.7925,0.8765,0.1739,0.1679,0.9501,False,-0.1528
Asian | Male,46604,0.777,0.8747,0.8752,0.8705,0.9786,0.5125,0.0214,0.8693,0.9207,0.1158,0.0977,0.9484,False,-0.1358
Race Not Available | Sex Not Available,148582,0.7342,0.8721,0.8686,0.8371,0.9771,0.582,0.0229,0.8226,0.8932,0.1549,0.1378,0.9456,False,-0.166
Black or African American | Joint,30753,0.6866,0.8676,0.8581,0.8159,0.9768,0.6283,0.0232,0.773,0.863,0.1863,0.181,0.9407,False,-0.2141
White | Male,404189,0.7569,0.8662,0.8581,0.832,0.9653,0.5575,0.0347,0.8436,0.9003,0.1365,0.1093,0.9392,False,-0.2141
American Indian or Alaska Native | Joint,1956,0.6718,0.8625,0.851,0.833,0.984,0.6137,0.016,0.7664,0.8617,0.1884,0.1907,0.9352,False,-0.2465
Asian | Female,24174,0.7593,0.8588,0.8602,0.8684,0.9762,0.4886,0.0238,0.8631,0.9161,0.1201,0.0995,0.9312,False,-0.2044
Asian | Sex Not Available,612,0.719,0.8497,0.8622,0.8751,0.975,0.5291,0.025,0.825,0.8938,0.1476,0.1307,0.9213,False,-0.1953
White | Female,254770,0.7362,0.8373,0.8325,0.8495,0.9603,0.494,0.0397,0.8443,0.8986,0.134,0.1011,0.9078,False,-0.3311
Race Not Available | Male,66802,0.6834,0.8348,0.8381,0.8463,0.9705,0.5421,0.0295,0.7944,0.8737,0.1695,0.1514,0.9051,False,-0.3055
Native Hawaiian or Other Pacific Islander | Joint,1005,0.7025,0.8338,0.8407,0.8431,0.9646,0.5251,0.0354,0.8126,0.8821,0.1583,0.1313,0.904,False,-0.2936
White | Sex Not Available,4551,0.7181,0.8288,0.8366,0.8239,0.9388,0.5487,0.0612,0.8134,0.8716,0.1576,0.1107,0.8986,False,-0.3124
Black or African American | Male,57077,0.6306,0.802,0.8118,0.826,0.956,0.5389,0.044,0.7518,0.8417,0.1958,0.1713,0.8696,False,-0.4258
American Indian or Alaska Native | Male,6497,0.6331,0.8019,0.8117,0.8506,0.9643,0.5218,0.0357,0.7612,0.8508,0.1871,0.1688,0.8695,False,-0.4263
Race Not Available | Female,39183,0.6605,0.8002,0.8094,0.8573,0.9632,0.4832,0.0368,0.795,0.8711,0.1651,0.1397,0.8676,False,-0.4368
Black or African American | Sex Not Available,888,0.6171,0.7984,0.8099,0.8126,0.9179,0.6059,0.0821,0.7094,0.8003,0.212,0.1813,0.8657,False,-0.4345
2 or more minority races | Male,1936,0.6229,0.7898,0.8084,0.8634,0.9643,0.5014,0.0357,0.7606,0.8505,0.1877,0.1668,0.8563,False,-0.4414
Black or African American | Female,63347,0.6133,0.7788,0.7891,0.8405,0.9543,0.5005,0.0457,0.7515,0.8408,0.1904,0.1655,0.8444,False,-0.5296
American Indian or Alaska Native | Female,4131,0.6006,0.772,0.7807,0.8493,0.9545,0.4976,0.0455,0.7426,0.8353,0.1927,0.1714,0.837,False,-0.5681
Native Hawaiian or Other Pacific Islander | Male,2026,0.6012,0.77,0.7926,0.8534,0.9516,0.4963,0.0484,0.7429,0.8344,0.194,0.1688,0.8349,False,-0.5136
2 or more minority races | Female,1539,0.5861,0.7628,0.7805,0.8687,0.9667,0.4741,0.0333,0.7428,0.8401,0.1936,0.1767,0.8271,False,-0.569
Native Hawaiian or Other Pacific Islander | Female,1140,0.5614,0.7263,0.7511,0.845,0.9437,0.448,0.0563,0.7295,0.8229,0.1971,0.1649,0.7875,True,-0.7035
Free Form Text Only | Male,200,0.43,0.625,0.6894,0.8703,0.9419,0.386,0.0581,0.648,0.7678,0.2284,0.195,0.6777,True,-0.9857
